marker,gene,gmsdis_coef,gmsdis_coef_pval,gmsdis_pval_fdr
9172_69_3,MMP8,0.378551196,0.002379128,8.07e-5
4284_18_3,RBM39,-0.17732377,9.06663e-4,0.012875551
3067_67_1,GDF9,-0.251756238,0.001519599,0.01146603
6230_56_3,CER1,-0.164237761,1.73236e-4,1.4e-5
9227_15_3,PDCD1,0.352182241,0.001029857,0.00828536
7206_20_3,FBP1,0.154228283,0.033463329,1.12e-4
9191_8_3,TFF2,0.230404457,2.58e-5,2.1828e-4
11918_54_3,STOX1,0.297537457,0.002705611,0.005011021
3083_71_1,EDA2R,0.195650313,6.48e-5,4.13e-7
10977_55_3,UCMA,0.134334099,0.0061,1.23e-5
3508_78_3,CCL22,-0.375311873,8.26e-5,0.003359204
8971_9_3,NRXN1,-0.110706864,0.0256,5.86e-6
9316_67_3,WFDC1,-0.175875915,3.63e-6,1.11e-11
14095_1_3,KLRK1,0.232471372,0.010297221,0.041617243
10551_7_3,LAT,-0.313500057,5.12e-6,2.63607e-4
9715_15_3,IGSF3,0.124456664,0.0439,2.6e-4
9256_78_3,NPTX1,-0.144212914,0.0115,1.72e-11
7920_30_3,ST8SIA2,0.103002179,0.048842123,0.013124927
3603_60_4,CLEC7A,0.186392666,0.001601568,0.011118112
5023_23_1,ADSL,0.167329756,0.012229979,0.025577386
5634_39_3,POFUT1,0.277477571,1.93e-5,1.94461e-4
4567_82_2,SH2D1A,-0.364376921,6.63649e-4,0.008237506
4123_60_2,FGF4,-0.194753135,0.003603073,0.02312708
13681_173_3,CSNK2A2,0.352249984,1.24e-6,1.91e-6
2944_66_2,NBL1,0.119655604,0.00407,0.001478322
11377_19_3,ADH7,0.156046155,0.030894863,0.001825106
9369_174_3,LRRC4C,0.166836686,0.0101,8.07e-8
2994_71_2,IL1RL2,0.133074948,0.00738,1.68e-7
5596_75_3,CD5,0.102981959,0.00134,0.007409006
3216_2_2,PIGR,0.213527281,0.00148,1.29e-5
2843_13_2,SPINT2,0.170164078,0.003367991,8.10571e-4
10970_3_3,ART3,0.116054109,9.49e-4,1.3e-5
11129_66_3,BMP15,0.314953915,1.49906e-4,7.54135e-4
11390_24_3,CA8,0.280970993,3.96362e-4,3.38e-4
5490_53_3,SPOCK1,-0.117085393,0.023,8.38e-6
8249_124_3,ALK,0.139574644,0.033,6.31e-5
10438_19_3,CSF2RA,-0.192639607,8.7647e-4,0.003353097
13747_9_3,CA6,-0.139877102,0.00698,2.48e-10
12845_18_3,SNX17,-0.248181401,0.015821806,0.029358367
4153_11_2,SERPINA3,0.365355711,4.07e-7,1.26e-8
13499_30_3,F8,-0.190777665,0.003428578,0.013713752
9183_7_3,IFNAR1,0.097672083,0.0216,0.007057518
7923_41_3,SEMA4C,0.284800435,7.82e-8,4.24e-7
