sampleid,New_pathway_2_score,New_pathway_3_score,New_pathway_4_score,New_pathway_7_score,New_pathway_10_score,New_pathway_11_score,New_pathway_14_score,New_pathway_22_score,New_pathway_23_score,New_pathway_37_score
S-181218-03143,-20.45477098798065,5.464529897269662,-3.2414179632047544,-1.2392133552709543,-7.063393769356729,-1.397748380200795,3.5438582611699174,-2.408630055511524,1.534458153904274,2.0519381345490446
S-181218-03152,-1.1532677294448526,-2.159192152983086,5.677195176913529,1.2385671981216295,-1.1951556895451785,3.7200851263681622,8.947599437877487,3.062120029905886,2.7768384254935645,4.669591342191135
S-181218-06020,-3.485570148717138,2.4714372221342056,0.87678347499327,-4.048938046577674,-5.995848948750168,0.7855776898960669,1.482268578940355,-0.5879375322837312,0.6086298629564036,0.8891141212835345
S-181218-06164,0.39638175441735435,-0.9436442090140704,0.14433457733568117,2.474895454348348,2.244742604505121,1.5825251534199989,0.20923524763463908,-1.5278030462101997,1.71911907088371,-1.9360758660008164
S-181218-03521,-25.578237011774497,2.3791403538956244,0.023247544357553912,-2.0102025782740034,-2.2458635142086876,-2.5406297187672955,2.386401581518963,0.8705122337683417,-0.2878947216399724,2.470534176858176
S-181218-05745,35.844614263733455,-2.6205588769805206,-0.5137729108538943,9.877144960218903,12.165659055786435,2.1635081452890863,2.8703927278795356,0.3440379154616271,-0.7712728444429147,-0.07486318478845777
S-181218-05746,23.564499234367634,-3.0530746522408916,-0.6542641508418174,-5.533861610167811,-11.825052682392581,-2.4464598305404484,-0.01703827207889609,-0.7214366788870277,-1.46059464671849,2.636758761270801
S-181218-05752,-29.247519351070423,8.230989908015372,2.7418480625186334,-0.24575996208508535,4.340547605943388,8.407805190591898,-10.590272973144021,3.1425563926699827,-2.881283524255512,-2.15933450290165
S-181218-05898,-35.40543771599691,8.754723571237008,0.03044682642872859,-1.647871006839742,1.327622044414648,5.951594574502635,-4.866895997521912,-0.8722672487342372,-3.0914069382780323,-8.56733286057742
S-181218-05899,-24.33231316423701,4.722415332611648,1.9207203392106407,-0.8285780787668299,-3.7388331748006185,3.836473286145205,-1.3910222145480027,-0.15899928849731054,-1.3980661908406542,-2.3856795139352758
S-181218-05904,-26.924220014327624,9.866559348161188,3.5785970203071678,-5.034625393448214,0.3294174784524133,7.1945655982218994,-10.604581620069613,3.4950878211090206,-2.2881717288256063,-9.646802111186869
S-181218-05905,-47.38788238706873,8.866050439988404,5.407882469724844,-3.5574668563078236,1.2138323994096833,8.766191902145291,-4.11874858437853,3.2090330484847267,-1.9004662591205328,-6.88747414944662
S-181218-05906,-29.839541500849986,5.129902216528545,8.217158149801593,-0.1556929343015787,7.772265321567,12.10981652735224,-9.454935342417437,5.347633022299521,-2.816691133000258,-12.467067922272232
S-181218-05915,10.341989039067412,-3.7503389335249846,-7.909435531853067,3.6874233171624873,-1.9278432054419679,-7.799893666482003,5.903448858706337,-3.9785517079712602,0.924270472775037,0.6501631275997124
S-181218-05916,8.230961645928693,2.5623276319390498,-5.539937476803954,3.771257932845816,-1.1811645449648007,-4.61019340811153,3.837681794476371,-2.985376558200334,0.7228175390244717,-0.13538168176929488
S-181218-05917,17.354777262669884,3.054797477681019,-3.9360374264755627,-0.10412103385800398,-1.0495016389825278,-3.068288673325843,5.025455826578534,-1.2774764040826534,-0.13137983048023177,5.961529036077613
S-181218-05918,3.669832015995037,-0.622238367177609,-3.858938534269457,0.3001918998857174,-2.473387786858513,-2.24234439928,1.6710613614974577,-1.9645682127947723,-0.33329465014965487,-0.758488218114173
S-181218-05958,48.42124824176339,-5.493149047059111,-11.313174459853617,13.49262151218944,21.717997206698385,-10.941163102913508,6.154745221941695,-7.085614293930339,4.30354177928889,10.273223222905246
S-181218-05983,102.430965374333,-5.3205181206997825,-2.7953203608054613,23.517767515514546,32.39872185876972,-9.275217299810613,19.93310311292649,-4.537746667379511,3.514347560247068,10.126885642375782
S-181218-05984,24.22430261271743,-1.083706765104307,-2.3978335736410625,8.221710145811143,13.612896439962967,-0.36664225880315976,1.528062489668049,-1.2695350296145835,2.674583511813317,-0.4029578884556779
S-181218-05988,22.653993813995122,2.033985536705554,-0.8618475927497539,-4.518652769377488,-5.83982619091528,-0.5201885973703282,2.540543139237423,0.8564157771404305,5.373189016987625,3.575096870916084
S-181218-05987,10.72706702304938,-4.738609007506688,-3.1329441519934105,1.611975232028511,0.5516798011130993,-2.9651245895408076,0.8435617340716952,-0.19365255702448442,4.5183390099912035,5.651407248369111
S-181218-06027,45.44069274575892,3.5121190873014427,1.953678409482539,-3.5756992194209136,-0.9407645103382258,3.518791215587841,-11.036015670656097,0.2606789504519774,-3.6545135762793546,-7.599173929367705
S-181218-06028,28.790679861227225,1.4845185917392776,3.2289666547256513,-2.1359774189708385,0.2841619484450177,0.6596029467502927,-7.1497643913691125,0.717570856879655,-3.2674505136604046,-8.487488817799168
