marker,gene,ms_hd_median_diff,ms_vs_hd_diff_wilcox_fdr
2939_10_2,ARTN,1.344798816,8.99e-7
6572_10_3,LRRTM4,-0.475407688,0.00691
10851_77_3,EBI3,0.782817332,3.42e-8
2775_54_2,IL17F,-0.391547831,0.004732882
3281_19_1,ANGPTL3,-0.567807773,0.018480291
13494_6_3,CERS5,-0.722035659,0.002459715
6304_8_3,C1QTNF1,1.765081914,2.25e-9
9754_33_3,NQO2,-0.443479971,0.027675898
3194_36_2,GP6,0.407082884,0.043064125
9456_34_3,IL22RA2,1.070432357,7.7e-9
2748_3_2,INHBA,0.600646769,0.014182046
12772_8_3,NUP98,0.26058946,0.005863674
11257_1_3,QDPR,-0.905177447,1.63e-6
12406_119_3,DIRAS3,0.534947818,0.015987159
5066_134_3,CD300C,0.615764435,4.12e-6
9526_3_3,CLPSL1,-0.557406621,0.002716005
4460_8_2,PDPK1,-0.74271356,4.62695e-4
9524_46_3,SPATA31D4,-0.439981852,0.008064228
13511_29_3,SATB1,-0.455053653,0.023754208
13449_25_3,SF3B4,-0.58502099,0.007964164
12694_28_3,DIMT1,-0.567084253,3.73298e-4
9598_23_3,CSMD1,0.395239217,0.048891608
4487_1_1,FGF7,-0.936668793,2.78e-5
4250_23_3,NSFL1C,0.449377511,0.028989627
14133_93_3,IL1R2,0.39259822,0.0112
5028_59_1,CD163,0.747367186,4.37e-5
5730_60_3,CXCL14,0.645838423,2.11601e-4
13744_37_3,IL3RA,-0.723720741,5.58e-5
12873_11_3,SPN,0.694723101,5.72e-5
10721_76_3,PCDHGB4,0.721913284,3.07e-6
13393_46_3,DERL1,0.500972435,0.016471767
6706_18_3,ALPPL2,-0.78849054,4.19e-5
8675_79_3,PILRA,1.471172157,1.99e-10
7935_26_3,LARGE,-0.351488464,0.029155925
2781_63_2,CCL4L1,0.692153812,0.00121
3421_54_2,TNFSF8,1.203143432,7.17e-10
5663_18_3,PF4V1,-0.31152736,0.033672478
2805_6_2,ACE2,-0.745878313,4.85e-5
6455_52_3,HAPLN4,-0.536445033,0.00983
3032_11_2,CGA,1.123067576,1.37e-5
4322_28_3,AMN,-0.651803759,4.12e-6
9122_8_3,OTOF,0.491806213,0.007453577
4246_40_2,L1CAM,-0.734940753,4.65e-5
14121_24_3,TNFRSF10D,0.280349914,0.0334
3321_2_2,IL24,-0.603449381,7.37284e-4
4904_7_1,CASP2,-0.35065744,0.006249559
12008_3_3,CD7,0.93273773,1.08e-6
14148_2_3,ISG15,0.677621358,0.001270362
3236_12_2,GSK3B,0.575463175,0.0113
13986_6_3,LANCL1,-0.827472361,0.001748164
8462_18_3,GH1,-0.523077069,0.003021545
14049_17_3,IL7,-0.81289877,9.73e-6
8078_15_3,C6orf226,1.294699604,1.11e-8
9828_86_3,LDHC,-0.872442089,0.001115077
8372_29_3,CDHR1,-1.221198152,3.89e-7
13498_1_3,MIOX,0.728444259,1.80962e-4
4309_59_3,TPI1,-0.770483768,4.61e-6
14051_54_3,FOXC2,-0.408562437,0.026645087
13580_2_3,UAP1,0.248821416,0.04189343
9889_42_3,AFAP1L1,-0.653107286,0.023021149
10618_190_3,LRP2,-0.573053721,0.0108
8820_2_3,C1QTNF2,-0.818089841,4.24e-6
9607_39_3,PRR27,0.570333821,9.82e-5
4330_4_2,KLK3,-0.794540142,1.03e-5
14134_49_3,AMIGO2,0.306582924,0.0332
14039_33_3,KLK5,-0.459739129,0.003174513
9053_16_3,CRIP2,0.630271787,0.003654757
9326_33_3,ITIH2,0.558940837,0.00341
8535_102_3,DMKN,0.433835261,0.001915536
13602_6_3,NHP2L1,1.033422731,1.1e-5
5704_74_3,GZMM,0.443770964,0.049989702
4139_71_2,IL6R,0.378991271,0.004805699
6471_53_3,CFHR4,-0.652422639,0.003672347
7787_25_3,LILRA5,0.546554759,0.0269
5111_15_3,NRXN3,-0.725862551,1.15e-5
6207_10_3,PSAP,-0.164226105,0.026441297
12367_52_3,TMEM57,-0.530019335,3.93359e-4
5244_12_3,MAPK9,-1.062254703,6.7e-10
2744_57_2,IGHG1,1.85564566,2.84e-17
3152_57_1,TNFRSF1B,1.887821623,3.19e-22
10902_53_3,ASPRV1,-0.486901101,0.003429206
10700_10_3,IGSF11,-0.672035612,1.53463e-4
7245_2_3,CELF2,0.62479719,0.014725362
5698_60_3,TNXB,-0.833371363,1.05e-6
12458_79_3,CHP1,-0.387258883,0.0489
3181_50_2,CTSS,0.328715273,0.035276762
12759_47_3,ILF3,0.632627431,2.37e-4
9241_40_3,SIRPG,0.488356333,0.008705332
12691_44_3,SHMT2,1.264948997,4.39e-5
4976_57_1,CRK,0.560031302,0.001671468
11633_89_3,AHSA1,0.503569322,0.022331579
5632_6_3,CRTAC1,-0.32267378,0.0368
11270_17_3,CHCHD10,0.465056057,0.0236
9116_28_3,HEPACAM2,0.718639366,2.64e-5
10914_4_3,CHIC2,0.368443358,0.002381956
7161_25_3,H6PD,1.267398518,3.26e-10
12593_33_3,PDRG1,0.788516158,6.33e-5
2685_21_2,IGFBP5,-0.555749429,0.002547292
7106_37_3,OOSP2,-0.665193538,4.79762e-4
5264_65_3,CALR,0.552729468,0.002839145
11993_227_3,ATP1A1,1.153391802,3.3e-9
10803_22_3,PCDHGB2,1.040240142,3.47e-5
9757_29_3,ENAH,-0.749462026,5.59797e-4
11487_4_3,SPOCK1,-0.597381963,7.47473e-4
4162_54_2,TF,-0.424106235,6.12826e-4
4962_52_1,CDNF,0.914888149,8.33e-5
8777_5_3,TGFB1I1,0.340416004,0.016196907
13530_5_3,UTS2R,-0.647232983,0.005831921
14050_61_3,EFNA4,1.403757539,2.07e-10
13958_5_3,RBM46,-0.67970962,0.001433867
14041_13_3,GZMB,0.86782817,1.33e-5
2991_9_2,IL1R1,0.497966193,0.00331
4437_56_3,ENTPD5,-0.520507064,4.66495e-4
7944_1_3,KIR3DL3,-0.320951166,0.026734435
6590_54_3,NRP2,0.386493965,0.01849302
13972_4_3,HSD17B14,0.72228239,1.12512e-4
8953_47_3,HDGF,1.005841901,1.32057e-4
3431_54_2,EPHA1,0.210484391,0.0153
7770_25_3,NFU1,0.282341249,0.014324995
8233_2_3,ITIH5,-0.6836985,0.044
5822_22_3,GDNF,-0.434417143,0.003756992
6994_19_3,C3orf18,0.649279844,8.46e-4
8368_102_3,TNFRSF1B,1.662251832,5.21e-20
5116_62_2,ROBO2,-0.676463126,1.09e-5
4811_33_3,ITIH4,0.513414154,0.0165
6563_78_3,PCDHGA11,0.318400961,0.00325483
14006_36_3,GNMT,0.333847338,0.048587466
11104_13_3,CHI3L1,0.930858981,2.31e-7
6557_50_3,LRRC15,0.279411002,0.035597851
3038_9_2,CXCL11,0.818325783,1.94836e-4
13941_82_3,FARS2,0.525210356,0.001475686
6361_49_3,PTPRR,-0.419168329,0.00117
7628_40_3,CRELD1,0.316788692,0.035197819
3405_6_2,UFC1,0.899155302,1.41e-6
4455_89_2,MFGE8,-0.671550261,5.79e-5
10584_7_3,NDUFS4,-0.604024819,0.013454606
6388_21_3,CCDC126,-0.562896923,0.011535968
8326_63_3,SIGIRR,1.149690025,7.77e-10
5936_53_3,TNF,0.398561575,0.024214408
8299_66_3,LILRA4,0.571505203,7.07e-4
14047_78_3,BDNF,-0.761257187,8.18e-5
3651_50_5,KDR,0.446859048,0.021793633
9384_17_3,CAMP,-0.541431426,4.68812e-4
8606_39_3,GPNMB,1.188605526,3.27e-8
12783_29_3,HNRNPM,0.796657623,7.6e-6
8394_56_3,RNASE2,1.016896896,1.13e-5
3854_24_1,NACA,-0.628806754,0.010024062
14256_4_3,FBN3,-0.644120201,0.007520095
10445_20_3,APOM,0.515613628,0.00258
12357_41_3,SNAP29,0.680087659,2.02501e-4
11313_100_3,PCBD1,0.54172826,0.014295085
3184_25_2,F7,-0.31981834,0.022337277
12571_14_3,ARL3,-0.783877474,4.45931e-4
5654_70_3,TMX3,0.393812474,0.0128
6504_65_3,LOXL2,-0.593947095,6.39725e-4
2731_29_2,POR,-0.418555621,0.004685702
7740_33_3,FATE1,-0.520459052,0.008653943
9178_30_3,NRG1,-0.379568762,3.62569e-4
13631_1_3,RBBP5,0.628684245,2.20798e-4
11245_43_3,FLNA,0.344500697,0.029472866
12987_12_3,SRSF7,0.719580438,0.003743161
6410_26_3,INSL4,0.733676037,5.22246e-4
12516_13_3,TEAD4,0.647686889,2.69085e-4
12513_8_3,GLTP,0.965352192,1.05e-6
8228_10_3,UQCC3,0.886790819,3.09e-5
3601_54_3,CHL1,-0.342943196,0.0233
7748_11_3,NDUFV2,-0.382617495,0.02155204
12411_60_3,MAX,0.693818451,0.00182701
8235_48_3,CHGB,-0.962040553,3.54e-8
3379_29_1,PRKCI,-0.485310225,0.041850067
9065_28_3,TXLNA,0.332269787,6e-4
10510_62_3,SCIMP,-0.739798991,1.50714e-4
7018_10_3,TSR3,0.555659381,1.12558e-4
7009_6_3,CD72,0.67372871,3.82472e-4
2585_2_5,PRL,-0.47472854,0.0167
12787_47_3,ZNF134,-0.656840627,0.038702938
5630_48_3,CD300A,0.778932697,7.55e-9
3445_53_2,IL15RA,0.992051782,4.79e-7
10521_10_3,MXRA8,0.492639154,0.014559176
12451_62_3,BACH1,1.032075556,6.7e-10
3714_49_2,CKB,-0.622327351,1.19771e-4
9218_7_3,FAS,0.444414631,0.001424252
9531_24_3,LST1,0.5226478,0.014007146
10943_36_3,WBP1,-0.388037404,0.003088654
9808_41_3,TNRC6B,0.461700261,0.011885855
13481_24_3,TCEA2,0.918228863,3.56e-6
9127_4_3,SLC26A5,-0.964948585,1.46e-6
7081_2_4,BTN3A1,0.514301542,0.001475686
13477_65_3,LTB4R,0.761767373,1.14e-5
9713_67_3,PDGFRL,-0.669107288,2.53853e-4
10370_21_3,STAT1,0.599533872,0.006506431
5392_73_2,FAS,0.845307417,3.54e-8
7219_152_3,LIPA,0.981525332,6.07e-5
13526_5_3,SSB,0.63922535,3.81563e-4
3186_2_2,C2,0.766793467,0.002463402
9870_17_3,WARS,0.76190165,6.73e-5
10749_18_3,C1QTNF3,0.727778552,1.02357e-4
4550_3_2,FYN,-0.378068965,0.007937691
12830_4_3,SAP18,0.410422429,0.016166138
4785_30_3,SERPINA6,-0.576021161,0.002921682
9111_40_3,JPH4,-0.390172072,0.019112902
10758_2_3,KERA,-0.337313313,0.004360014
10529_19_3,ZNF358,-0.750661166,7.10469e-4
3636_37_4,OLR1,0.449382759,4.46e-6
9857_38_3,IRF4,1.596913193,9.46e-15
5095_7_3,KIR2DL4,-0.53738215,0.022260054
10894_25_3,SCGN,0.875888194,1.8e-5
7893_19_3,OLR1,0.578736872,1.78e-7
6296_36_3,OIT3,0.514571718,1.59656e-4
10833_64_3,HHIP,-0.480008897,0.04073539
14708_59_3,C8G,-0.482186928,0.004230511
8275_31_3,PEAR1,0.700509593,5.49e-6
9058_1_3,TIMM21,-0.820445201,6.38e-5
5633_65_3,LILRB2,0.665354192,5.33e-6
5716_49_3,CSAG1,-0.935504477,3.05e-7
10940_25_3,SRL,0.308294138,0.025652647
14615_46_3,KRTAP2-4,0.449910826,0.049585396
8262_20_3,APOD,0.533739175,5.04e-5
11273_176_3,GSTT2B,0.285437589,0.034233459
12988_49_3,EWSR1,0.622882545,1.02357e-4
11955_1_3,ARHGAP1,0.937634812,9.88e-6
9463_26_3,CDHR3,0.40409043100000003,0.042047744
6168_11_3,TP53,0.763536448,9.71e-5
13545_97_3,EIF1AD,0.91851743,4.64e-6
5272_55_2,SHC1,0.931586607,2.25e-5
6117_4_3,PCSK2,0.711169836,7.88e-5
7123_25_3,MRPL52,0.296649391,0.049495956
9229_9_3,CTRL,0.718885855,1.34221e-4
13488_3_3,ARFIP1,0.644282124,0.00271
12355_223_3,MRRF,0.369308606,0.030895543
2643_57_2,CDH3,0.675683992,0.00904
7073_69_4,C22orf15,-0.666416002,0.002345262
8887_21_3,NUDC,0.76224655,2.06512e-4
8993_151_3,RIPK2,-0.481259293,0.00459
8290_1_3,VAMP5,-0.470306927,4.24e-5
6431_68_3,PCYOX1,-0.506908272,0.002145678
8080_24_3,MSMP,0.661800041,1.78e-4
3327_27_1,NTN4,-0.992457493,3.31e-9
4392_54_2,FGF12,-0.702902083,2.88e-6
3443_61_2,HIPK3,-0.635369108,0.003701571
7243_8_3,IFNB1,0.641320198,0.001293538
11656_110_3,EVL,0.112123395,0.038021842
9627_15_3,VIT,-0.790508974,4.86e-4
4490_65_2,IL3RA,-0.933763683,4.76e-6
12695_62_3,KLHL12,-0.67266527,4.85e-5
4983_6_1,ERP29,0.519016955,0.001401784
8806_18_3,NRN1,-0.401341781,0.02246463
6570_1_3,COL13A1,-0.402815834,0.010605735
13460_4_3,CHAD,-0.780129586,2.6e-6
10339_48_3,ENO2,-0.437012349,0.00218177
5280_68_5,SLC25A18,0.510244025,0.005362514
6715_63_3,ALPPL2,-0.572787037,3.83918e-4
5717_2_3,CILP,0.904039284,1.0813e-4
2602_2_2,ANGPT2,-0.626617007,0.003072216
13403_5_3,ETV5,-0.484061212,4.17658e-4
5992_50_3,CD8A,0.574864914,4.94e-5
13129_40_3,LDLR,-0.863112393,4.12e-6
4149_8_2,PDGFB,-0.63332775,0.003325675
14086_11_3,SMPDL3A,-0.909279457,1.22e-5
12507_16_3,ITPKC,0.586056113,1.47205e-4
12731_12_3,PLEKHA7,-0.940469229,4.46e-6
9867_23_3,FBP2,-0.442202904,0.011889203
8236_8_3,C18orf32,0.661166935,0.001658727
5096_51_3,KIR3DL2,-0.663678365,2.11269e-4
12798_46_3,SLC4A8,-0.435957424,0.007198585
8872_1_3,SEC61G,-0.711537463,4.05e-5
5359_65_3,PIM1,0.483616394,0.00864
3376_49_2,IL17RD,-0.34367912900000003,0.004685702
6315_58_3,PLBD1,1.231292816,1.53e-7
12382_2_3,DDX58,0.850421891,3.91e-6
4413_3_2,SLPI,-0.643434852,0.001619509
9832_33_3,HGD,-0.273130886,0.032372157
12577_100_3,FEN1,0.569226035,0.001607103
10490_3_3,RPN1,0.265867361,0.021097731
14100_63_3,C1QC,0.292712295,0.00488
9450_18_3,CDK2AP1,-1.106252752,3.12e-8
10419_1_3,SCARA5,-0.521911968,0.002048544
5679_16_3,DEFB103A,-0.697308341,6.93674e-4
14052_26_3,UNC13A,-0.479996889,0.016365312
3709_4_2,GPT,0.426595594,0.0122
8289_8_3,GPNMB,2.206530315,2.73e-20
7253_6_3,QKI,-0.984783238,1.9e-7
14334_3_3,RCVRN,0.698589552,3.05e-6
9370_69_3,GGH,-0.789344811,5.14e-5
13716_259_3,F2,0.486215249,0.003525739
9474_22_3,ASGR2,0.546616982,5.787e-4
9008_6_3,PRRG1,0.504010725,0.027704914
12514_16_3,METTL1,0.570856651,0.014629741
3204_2_2,LTA4H,0.619537799,0.013344334
7919_278_3,FAM3D,-0.477873319,0.001129564
11602_12_3,CPNE1,0.860398639,1.34716e-4
10479_18_3,MMP10,0.272378865,0.0371
7183_102_3,C19orf80,0.383207251,0.006985888
9123_18_3,CBARP,0.584483255,0.004088088
8034_6_3,DRGX,0.298896497,0.008476759
12594_5_3,GCA,-0.360725912,0.037364617
8367_142_3,VSIG1,-0.930801555,9.77e-7
13515_8_3,RPRD1A,0.272970022,0.028366963
2770_51_2,CCL1,0.953476424,3.95e-7
9894_13_3,MYO6,-0.521201034,0.002146011
11328_9_3,USB1,-0.495269819,0.005201064
7085_81_3,CDSN,-0.497946733,0.005033859
8653_132_3,DNAJC4,0.42024755,0.011049903
12551_3_3,ITCH,-0.491260252,0.003255415
4920_10_1,LYZ,0.783581148,1.47e-6
10574_10_3,AXL,0.81797842,1.15e-6
2851_63_3,C5,0.335645611,0.0107
4588_1_2,PPY,0.237856044,0.0472
5122_92_2,SEMA6A,-0.682791899,0.00136
13577_25_3,U2AF2,1.027611967,3.54e-8
13429_3_3,WFDC10A,0.734061738,3.39e-6
13490_1_3,MPP6,0.506426822,8.86817e-4
3450_4_2,KLK6,-0.506910219,0.028157319
13665_35_3,PPP2R3A,0.697613293,2.84e-6
3050_7_2,VWF,-0.479975914,0.004310923
12549_33_3,HPGDS,-0.813960174,1.48e-6
14070_56_3,ITSN1,0.364599277,0.037384584
14125_5_3,APOM,0.886583529,9.96e-5
4141_79_1,CXCL10,1.884648712,1.86e-13
6633_43_3,UPK3BL,1.331049704,2.7e-9
12546_1_3,SMTN,0.400757466,0.016206745
8518_55_3,ADM,0.560003782,0.023469804
11462_8_3,RBFOX2,0.452366715,0.012820995
7006_4_3,COL25A1,-0.624691982,9.19911e-4
14755_4_3,LTF,0.646708968,4.03448e-4
7251_64_3,C1QTNF3,-0.748309118,1e-7
6382_17_3,MANBA,-0.860244082,5.3e-7
2212_69_1,PLAT,-0.868010821,1.71e-7
9010_3_3,DMPK,0.744700134,1.49222e-4
7014_27_3,LRRC19,0.416845148,0.02975917
9937_7_3,GJA1,-0.387269543,0.014001713
9609_25_3,ZNF275,1.070027671,4.21e-6
2968_61_1,TNFSF15,1.926569978,8.34e-22
12923_51_3,KRT17,0.512239617,0.003913296
10699_52_3,LRP1,-0.938073145,3.95e-7
12338_27_3,EGFLAM,0.466867207,0.032129911
9284_25_3,SFRP4,-1.025945812,1.02e-9
8086_49_3,ITM2B,-0.983677967,1.37e-5
2788_55_1,MMP3,-0.505285685,0.0232
12670_15_3,RAD1,0.526998662,0.007138363
13408_23_3,WFIKKN2,-0.533884245,0.00268714
4194_26_3,ANP32B,1.398525785,8.18e-11
3810_50_2,FGR,-0.620246594,2.06512e-4
5897_58_3,GRP,-0.53218694,1.59e-7
3473_78_2,MPL,-0.843444153,1.07e-5
10527_22_3,DHX9,0.567592696,0.032551803
6392_7_3,WISP2,-0.556181828,0.00345
6990_44_3,SDF2L1,1.272392735,1.02e-12
12625_138_3,KLHL7,0.69250905,7.63819e-4
3400_49_2,TBK1,-0.661988294,5.14148e-4
12820_1_3,GRAP,0.666388282,3.57138e-4
10000_28_3,CRYBB2,0.630108643,1.96359e-4
2654_19_1,TNFRSF1A,1.152000518,4.72e-12
6472_40_3,PMEL,-0.64519686,2.77e-5
12835_101_3,PYDC1,-0.67317141,0.010397056
10088_37_3,APRT,-0.316026778,0.033280519
11229_16_3,ERN1,0.328238472,0.007075121
10480_33_3,CD59,0.722310506,1.84062e-4
12498_12_3,TAX1BP3,0.64825854,0.009047168
2809_25_2,ADAMTS4,-1.014400664,1.14e-6
3374_49_2,HCK,-1.096266484,6.32e-7
12480_9_3,OTUD5,0.459023489,0.003824103
5496_49_3,SPON1,-0.381509963,0.0312
6899_37_3,PCBD2,0.531902634,0.0144
9794_17_3,ADCK4,-0.875961692,5.75e-6
8931_124_3,G0S2,-0.43644381,6.25744e-4
11117_2_3,SPATA20,0.846185312,1.47e-6
3420_21_2,CA13,0.929954061,2.94e-7
8239_223_3,BCHE,-0.400668076,0.0157
12381_26_3,CBR1,1.085809071,4.35684e-4
2977_7_2,EDAR,0.718637819,6.43e-5
3311_27_1,FCGR3B,1.277212007,1.04e-10
6561_77_3,LOC652493,1.308515335,3.37e-8
5661_15_3,IL18,1.011841094,5.63e-7
4278_14_3,P4HB,-0.88655198,1.91e-6
3868_8_1,SGTA,-0.694991754,0.001200848
6992_67_3,HBD,0.532381128,5.60393e-4
6425_87_3,MMP19,0.527393612,1.27e-4
3179_51_2,CTSA,-0.560950965,1.74e-5
3611_70_4,ECE1,-0.674257186,0.001929228
12534_10_3,CALCOCO2,0.407507179,0.032554964
13554_78_3,REPIN1,0.717531369,5.66e-5
11311_79_3,RAG1,-0.205490203,0.033352433
12518_289_3,PBRM1,0.727517639,8.37e-5
5457_5_2,COLEC12,0.614866425,0.006422064
5669_26_3,SIRPB2,0.603936892,0.0074791120000000004
9583_17_3,RNF24,0.763834271,2.67e-5
13963_7_3,TOLLIP,-0.302734382,0.0244
7124_18_3,IL21,0.68435985,2.05e-5
11336_9_3,FANCF,-0.515790194,3.81486e-4
11401_181_3,RNF146,0.598862372,8.91e-6
8974_172_3,COL15A1,0.46130430100000003,0.012960647
5085_18_3,IL20RA,-0.776319816,1.65e-7
2418_55_9,APOE,-0.511299171,5.53e-4
10702_1_3,COL28A1,0.623546558,6.71514e-4
2732_58_3,NANOG,-0.775676142,9.08e-6
5508_62_3,CTSD,-0.832204845,2.36e-5
9962_1_3,CDHR5,0.562917114,0.005564296
11549_6_3,ISL1,0.52204523,0.00244627
3616_3_5,GNS,-0.347339241,2.39e-4
13553_4_3,DCUN1D3,0.815445955,3.74e-6
14011_17_3,S100A11,1.175841362,6.1e-11
9835_16_3,ALDH1A3,0.743009371,1.29421e-4
7825_7_3,ABHD12,-0.643412847,0.006418601
10473_2_3,TFF2,-0.539729425,0.005268466
14151_4_3,ISG15,0.668776078,8.49366e-4
6647_55_3,UBC,-0.231958738,0.048587466
7265_32_3,OSTN,-0.417889009,0.044891257
3805_16_2,ESM1,-0.381922699,0.0464
2436_49_4,CXCL16,0.583959426,0.013618456
9258_14_3,CXADR,-0.510822271,0.004924039
2849_49_1,AIF1,-0.968024384,1.76e-5
2575_5_5,LEP,-0.477460279,0.013
6480_1_3,CANT1,-0.524026077,0.019758839
2634_2_2,IL2RG,1.040886555,6.48e-7
11709_29_3,CPT1B,0.363568679,0.0031
12685_57_3,HOMER2,-0.514550119,0.004463525
12784_10_3,APBB3,0.670495481,1.07691e-4
12484_67_3,PITPNB,0.628913887,2.11601e-4
3169_70_2,IDUA,-0.366315381,0.011045341
2915_6_2,PCNA,-0.607173008,0.00638094
13710_6_3,SERPING1,0.901590927,5.74e-5
9000_177_3,SLC3A1,0.664960237,0.009389281
2858_29_2,HAT1,-0.65357898,0.001953062
9829_91_3,SULT2A1,0.390722026,0.037413463
12871_10_3,TWF1,0.434716402,0.003224906
9185_15_3,TFF1,-0.322086858,0.032315274
4138_25_2,IL20,-1.468882576,1.12e-11
10928_7_3,IL36A,0.401429614,0.005267421
6911_103_3,CLEC6A,-0.383113909,0.03006956
9964_10_3,MYZAP,0.551461097,2.91864e-4
11110_4_3,TMEM119,-0.603843694,0.022839683
11486_26_3,ZNF174,0.618652356,3.55509e-4
3480_7_1,DUSP3,0.818542601,9.11592e-4
5740_17_3,ROBO1,-0.36885578,0.0301
4396_54_1,IFNL1,-0.757598379,5.49e-6
2468_62_3,CCL20,-0.716364324,5.56704e-4
11890_2_3,VSIG1,0.710257587,1.80156e-4
2708_54_2,TNFSF18,0.436484753,0.005805329
12531_5_3,ERVV-1,0.702397493,0.002278527
8265_225_3,TMPO,1.495769174,5.68e-9
9545_156_3,GZMK,0.965894558,1.82e-6
3206_4_2,LYVE1,-0.480143361,0.00354584
13707_27_3,SPARCL1,-0.341791925,0.03
5719_66_3,FAM189A2,-0.541682223,0.001779849
3758_63_3,PROC,-0.991722184,9.45e-5
5265_12_3,GRAP2,-0.807425155,0.001658727
11406_82_3,ACAD8,0.374504054,0.027566152
10818_36_3,SMPD1,-0.576842505,0.007445203
5763_67_3,DEFB104A,-0.434507481,0.0127
2859_69_2,HDAC8,0.71550701,9.55e-4
7751_121_3,SFRP2,0.34660109099999997,0.046235968
13104_32_3,EFNB1,0.77132895,1.11e-6
2523_31_3,CCL5,-0.539204149,0.003519853
7049_2_3,ADAM23,-0.29162007,0.0171
5766_6_3,RSPO4,-0.811150435,8.93e-6
6360_7_3,DEFB128,-0.70982116,0.002184287
3708_62_1,A2M,1.109005111,3.27e-8
7220_20_3,IL32,0.356410503,0.033941502
4696_2_2,FABP3,0.386986846,0.005032965
7818_101_3,GBP6,1.034906667,2.05e-8
9102_28_3,ZFYVE27,0.698665361,1.63629e-4
8463_2_3,SOD3,-0.451545332,0.002039837
10012_5_3,SPDEF,0.675879884,1.06937e-4
10518_14_3,IGSF9,-0.985483615,2.56e-7
6584_1_3,HRC,-0.317871458,0.020422847
11634_32_3,RGS10,-1.301610266,7.1e-9
6363_55_3,DEFB124,0.705713727,0.005072585
13130_150_3,HK2,-0.569745785,0.00116151
5671_1_3,CTRB1,-0.321075297,0.024457054
12856_14_3,TMEM237,0.656683347,1.91408e-4
11196_31_3,COL6A3,0.447960052,0.0014717
13504_147_3,HNRNPR,1.138089996,3.05e-7
14057_68_3,TNFSF15,0.753632631,1.49e-5
12724_81_3,CIRBP,0.507221024,0.023104617
8870_38_3,NPM1,0.567685893,9.53025e-4
13113_7_3,SPP1,0.611927755,0.002459715
3503_4_2,ITGB1,1.088148838,3.46e-6
9950_229_3,LAG3,0.339772241,0.0394
6643_62_3,CD47,0.643363617,5.68926e-4
3489_9_2,CNTF,-0.602974662,6.74378e-4
13093_6_3,SECTM1,1.296273325,6.04e-12
11312_40_3,PMS2,0.39727333,0.049585396
12574_36_3,EDN2,-0.572187168,1.04e-4
8990_42_3,ATP1B3,0.665452875,6.87e-6
12564_9_3,NIP7,0.652604691,5.81e-5
8089_173_3,NR4A1,-0.268941363,0.010093897
5677_15_3,C2orf66,-0.537451699,4.85e-5
11205_10_3,ITGB7,-0.538319757,0.0265495
8791_151_3,CA5A,1.005855329,1.08e-8
12475_48_3,CLIC5,-0.322013904,0.023276536
8404_102_3,BOLA2,-0.480373365,0.005692341
12900_29_3,ACACB,0.778219978,2.65e-7
10472_53_3,TNFRSF14,0.485766532,3.78814e-4
14065_11_3,CD5,-0.822508422,4.99e-5
5443_62_2,NPPA,-0.462527709,0.003328948
11147_17_3,TREML1,-0.315499463,0.046893794
4304_18_2,LCORL,-0.760326517,4.07e-5
10827_67_3,LINGO3,-0.621554345,0.00126
9312_8_3,AZGP1,0.635340161,0.0014
7792_58_3,CCDC90B,-0.43031166,0.040972877
4297_62_3,SPON1,-0.395024244,0.047235721
4973_18_1,BIRC3,-0.581186432,0.001260019
11222_62_3,PTPRH,0.536566152,0.001108137
12854_3_3,TEAD3,0.512023713,7.42194e-4
11361_73_3,TYMP,0.416118555,0.0397
12758_47_3,GRID2,-0.771742583,4.87926e-4
10087_10_3,CRYAA,-0.392848352,0.006224915
6932_42_3,ITGA5,0.495561318,0.007576389
3358_51_2,CDK5R1,-0.650322512,0.006100548
7020_13_3,CHST5,0.56445975,0.033348329
9638_2_3,TIGIT,0.562403836,1.45393e-4
6914_15_3,AMIGO2,0.502311139,0.0206
2636_10_2,LTBR,0.793904626,4.61e-5
8635_283_3,ZPBP,0.790216043,2.01e-5
14597_5_3,SEMA6C,-0.799851637,2.86e-5
13573_5_3,ARPC3,0.924549116,1.59e-5
6917_49_3,LRRC3,-0.935610818,1.47e-6
7097_8_3,CDY1,-0.650021554,3.39046e-4
4986_59_1,PTK2,-0.660268594,2.28e-5
8402_22_3,CYTL1,0.442827948,0.005451233
7116_31_3,OSCAR,-0.5987715,0.001511567
7130_4_3,LAIR2,-0.504767889,0.004644444
4146_58_2,NTF4,-0.652486085,3.81486e-4
3022_4_2,CTLA4,-0.628995367,0.00099816700000000011
3823_9_1,MATK,-0.534008463,0.001658727
9197_4_3,LGALS9,1.021610535,3.18e-9
8894_80_3,HNRNPAB,1.185135249,3.01e-7
10878_1_3,TNFRSF10B,0.547106476,4.53e-4
7994_41_3,ERO1LB,-0.666835828,9.11e-5
12537_88_3,PURA,0.809777546,8.26e-5
13572_43_3,PSMD11,0.582939593,0.004997383
8382_47_3,MAPKAPK5,-0.468174445,0.035636937
5803_24_3,C3,1.017816825,8.42e-7
6039_24_3,CRHBP,-0.965483173,1.67e-8
4158_54_2,PLAU,-0.527519135,0.00222574
9756_6_3,TAGLN,0.501422929,0.009671047
5204_13_3,PSME3,-0.440902719,0.014972562
7989_5_3,C1orf226,0.33463075,0.019921396
6530_63_3,PROL1,-0.598981665,3.64308e-4
14635_28_3,PCDHGA8,-0.563139476,1.18398e-4
11712_207_3,UNC45A,-0.791123212,2.76e-6
9412_52_3,ACVR2B,-0.706175497,0.002839145
