marker,gene,ms_hd_median_diff,ms_vs_hd_diff_wilcox_fdr
10809_14_3,KLRB1,1.111228344,5.17e-7
3172_28_2,ARSB,0.209935341,0.045845829
8008_28_3,HRK,-0.344290466,0.026709198
3446_7_2,IL18R1,0.444745167,0.009211243
10627_87_3,APLP2,-0.856042157,7.92e-6
12426_19_3,MOB1A,0.795123957,1.67e-4
5102_55_3,MICB,-0.416585738,0.0374
4374_45_2,GDF15,0.69663628,4.35e-4
3723_1_2,NPPB,-0.434841807,0.008511369
2630_12_2,IL1RAP,0.405340634,0.004021325
4135_84_2,IGHE,-0.227144001,0.024457488
2697_7_2,PF4,-0.951486165,3.79e-5
8631_13_3,ERMAP,0.585048659,2.6348e-4
7099_33_3,FSTL5,-1.065142054,2.35e-8
5960_49_3,SCGB1C1,1.948922844,8.59e-17
14068_29_3,CCL25,0.890876436,5.94e-5
6340_10_3,GPHB5,1.530205806,4.76e-12
5105_2_3,RTN4R,-0.585645783,7.63e-4
5133_17_3,TGFBR2,1.04651118,1.23e-5
9040_144_3,EPDR1,-0.428151442,0.00472
4267_81_3,PES1,-0.56196577,0.005094054
10737_96_3,SERPINB1,0.250491911,0.019880268
6077_63_3,CECR1,1.535766524,1.28e-13
12595_11_3,TMOD1,1.200620564,3.96e-5
9885_41_3,RAP2A,0.482382719,0.003186301
2652_15_1,PLAUR,0.677476988,3.98e-6
9561_21_3,VCAN,-0.457531321,0.003150961
8897_3_3,LRRC37A2,-0.73747446,2.85e-5
6574_11_3,FAIM3,3.053677272,2.24e-24
11439_88_3,RHPN2,0.731431807,2.05944e-4
13519_112_3,ARHGEF25,0.932572251,2.36e-7
7065_1_4,MPIG6B,0.701331981,0.003913296
5728_60_3,FCRL1,1.629616231,1.93e-11
10505_12_3,RNF43,0.654640436,6.87e-5
5118_74_2,IGHG1,1.458193161,9.91e-11
7915_31_3,APLP2,-0.436586224,0.025983906
10823_19_3,ATRAID,0.340807698,0.019321788
7849_3_3,QPCT,0.346831932,0.0273
7147_35_3,WFDC8,0.517237072,0.034510058
6386_4_3,IGFL1,1.064094515,4.09e-11
10980_11_3,ACHE,-0.785046604,0.00872
5071_3_3,IGHG1,2.176241008,9.36e-22
3356_50_1,CA7,-0.706692902,3.89e-7
3820_68_2,MAPKAPK2,0.417862268,0.003482645
2976_58_2,DSG1,0.402112858,0.026794082
5091_28_3,LILRB2,0.398757391,0.0254
4916_2_1,IGHD,0.482071777,0.00806
8783_216_3,MAVS,1.483442414,2.76e-12
6606_61_3,KISS1,-0.696357625,4.80852e-4
9582_93_3,SUSD1,-0.71479482,9.82e-5
8032_23_3,MCCD1,0.626614505,2.03908e-4
13732_79_3,CTF1,0.634520766,0.024080117
3209_69_1,MEPE,-0.830048631,1.82e-5
3034_1_2,GFAP,0.933050644,5.72e-8
4774_62_3,FAM107B,-0.250053423,0.040920359
3069_52_3,IGHM,0.807742967,1.07998e-4
4561_65_2,BIRC7,-1.002529653,4.72e-8
5675_6_3,PRELP,0.452626067,0.028446898
12424_107_3,THYN1,0.805393728,0.014324995
6620_82_3,LINGO1,-0.592084092,0.0192
9106_87_3,LYSMD4,-0.296861918,0.010698377
11287_14_3,CYB5A,0.542030347,0.011049903
3174_2_1,ADAMTS1,-0.391413676,0.020745412
14026_24_3,IL17F,0.491478409,0.039914432
9188_119_3,CXCL9,1.519209474,1.49e-10
4475_60_3,ZAP70,-0.434235028,0.049842865
8697_38_3,GPC1,-0.727813789,0.00275641
11227_31_3,TBL2,0.996810357,1.18e-6
8035_6_3,C1orf198,0.704688585,0.003491497
11645_9_3,P4HA1,-0.552136825,3.33867e-4
12777_11_3,SF1,1.133989393,7.77e-9
13687_5_3,CCL1,0.546362614,3.29e-5
7093_20_3,NRXN3,-0.434127727,0.004101437
9094_5_3,CLEC4C,0.56049854,3.64308e-4
13109_82_3,NEGR1,-0.330067061,0.0407
9172_69_3,MMP8,1.889581246,6.15e-10
11560_76_3,NFATC4,-0.481504946,0.039957928
6230_56_3,CER1,-0.425803878,9.86e-4
9227_15_3,PDCD1,1.818700963,2.46e-17
9495_10_3,CXCL17,0.496542499,1.63455e-4
8362_102_3,IGJ,1.242849356,1.64e-7
9191_8_3,TFF2,0.763117342,0.010154071
7775_15_3,KLK11,-0.593287465,2.80096e-4
5121_3_2,SEMA6B,-0.610942582,0.00104
11918_54_3,STOX1,2.878290842,4.1699999999999994e-23
3083_71_1,EDA2R,1.051333212,9.13e-8
8971_9_3,NRXN1,-0.515004193,0.00162
5637_81_3,NTNG1,-0.495900933,0.0437
6353_60_3,IGFL4,1.4071135,1.21e-13
9316_67_3,WFDC1,-1.000870809,1.32e-8
11207_3_3,MSR1,0.337547392,0.044281988
14095_1_3,KLRK1,0.472052447,0.002356091
9362_11_3,DEFB123,0.982515941,8.05e-7
6485_59_3,IGLL1,-0.539221326,0.004044279
9492_5_3,RRBP1,-0.351766586,0.010710145
9383_24_3,CHI3L2,1.88513559,3.06e-12
9256_78_3,NPTX1,-0.849355887,3.67e-7
14038_130_3,CST7,0.894992048,2.5e-5
8274_64_3,STX7,0.521717898,0.015584505
3603_60_4,CLEC7A,0.743724656,1.16e-5
13076_4_3,FXR1,0.578921781,0.003519853
13655_34_3,NCL,0.359428431,0.007852928
3418_12_2,CAMK1D,0.318886484,0.017266763
5735_54_3,C1GALT1C1,-0.353203401,0.014
12692_56_3,DOT1L,0.367806955,0.00682714
